2023-03-17 16:42:12,427 INFO    Thread-16 :20372 [wandb_setup.py:_flush():76] Configure stats pid to 20372
2023-03-17 16:42:12,428 INFO    Thread-16 :20372 [wandb_setup.py:_flush():76] Loading settings from C:\Users\HP\.config\wandb\settings
2023-03-17 16:42:12,428 INFO    Thread-16 :20372 [wandb_setup.py:_flush():76] Loading settings from d:\CS6901\wandb\settings
2023-03-17 16:42:12,428 INFO    Thread-16 :20372 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'viswa_ee', 'project': 'CS6910', 'root_dir': 'd:\\CS6901', 'run_id': '3tqzz0bg', 'sweep_param_path': 'd:\\CS6901\\wandb\\sweep-t38ec2il\\config-3tqzz0bg.yaml', 'sweep_id': 't38ec2il'}
2023-03-17 16:42:12,428 INFO    Thread-16 :20372 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-17 16:42:12,428 INFO    Thread-16 :20372 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-17 16:42:12,428 INFO    Thread-16 :20372 [wandb_init.py:_log_setup():506] Logging user logs to d:\CS6901\wandb\run-20230317_164212-3tqzz0bg\logs\debug.log
2023-03-17 16:42:12,429 INFO    Thread-16 :20372 [wandb_init.py:_log_setup():507] Logging internal logs to d:\CS6901\wandb\run-20230317_164212-3tqzz0bg\logs\debug-internal.log
2023-03-17 16:42:12,429 INFO    Thread-16 :20372 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001EF986C80A0>
2023-03-17 16:42:12,429 INFO    Thread-16 :20372 [wandb_init.py:init():546] calling init triggers
2023-03-17 16:42:12,429 INFO    Thread-16 :20372 [wandb_init.py:init():552] wandb.init called with sweep_config: {'act_func': 'relu', 'batch_size': 16, 'l2_coeff': 0.5, 'loss_func': 'cross_ent', 'lr': 0.0001, 'n_epochs': 5, 'n_hidden': 5, 'n_hidden_units': 32, 'optim_algo': 'sgdm', 'relu_param': 0.01, 'weight_init': 'xavier_uniform'}
config: {'n_epochs': 10, 'n_hidden': 3, 'n_hidden_units': 10, 'l2_coeff': 0, 'lr': 0.001, 'optim_algo': 'sgd', 'batch_size': 16, 'weights_init': 'random', 'act_func': 'relu', 'loss_func': 'cross_ent', 'relu_param': 0}
2023-03-17 16:42:12,429 INFO    Thread-16 :20372 [wandb_init.py:init():602] starting backend
2023-03-17 16:42:12,429 INFO    Thread-16 :20372 [wandb_init.py:init():606] setting up manager
2023-03-17 16:42:12,439 INFO    Thread-16 :20372 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-17 16:42:12,446 INFO    Thread-16 :20372 [wandb_init.py:init():613] backend started and connected
2023-03-17 16:42:12,453 INFO    Thread-16 :20372 [wandb_run.py:_config_callback():1251] config_cb None None {'act_func': 'relu', 'batch_size': 16, 'l2_coeff': 0.5, 'loss_func': 'cross_ent', 'lr': 0.0001, 'n_epochs': 5, 'n_hidden': 5, 'n_hidden_units': 32, 'optim_algo': 'sgdm', 'relu_param': 0.01, 'weight_init': 'xavier_uniform'}
2023-03-17 16:42:12,455 INFO    Thread-16 :20372 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-17 16:42:12,455 INFO    Thread-16 :20372 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-17 16:42:12,456 INFO    Thread-16 :20372 [wandb_init.py:init():701] updated telemetry
2023-03-17 16:42:12,502 INFO    Thread-16 :20372 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
