2023-03-17 23:31:12,208 INFO    Thread-85 :27560 [wandb_setup.py:_flush():76] Configure stats pid to 27560
2023-03-17 23:31:12,209 INFO    Thread-85 :27560 [wandb_setup.py:_flush():76] Loading settings from C:\Users\HP\.config\wandb\settings
2023-03-17 23:31:12,209 INFO    Thread-85 :27560 [wandb_setup.py:_flush():76] Loading settings from d:\CS6901\wandb\settings
2023-03-17 23:31:12,209 INFO    Thread-85 :27560 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'viswa_ee', 'project': 'CS6910', 'root_dir': 'd:\\CS6901', 'run_id': 'f2hhzmoj', 'sweep_param_path': 'd:\\CS6901\\wandb\\sweep-5hrjihf5\\config-f2hhzmoj.yaml', 'sweep_id': '5hrjihf5'}
2023-03-17 23:31:12,209 INFO    Thread-85 :27560 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-17 23:31:12,209 INFO    Thread-85 :27560 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-17 23:31:12,210 INFO    Thread-85 :27560 [wandb_init.py:_log_setup():506] Logging user logs to d:\CS6901\wandb\run-20230317_233112-f2hhzmoj\logs\debug.log
2023-03-17 23:31:12,210 INFO    Thread-85 :27560 [wandb_init.py:_log_setup():507] Logging internal logs to d:\CS6901\wandb\run-20230317_233112-f2hhzmoj\logs\debug-internal.log
2023-03-17 23:31:12,210 INFO    Thread-85 :27560 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001C1E1B9BFA0>
2023-03-17 23:31:12,211 INFO    Thread-85 :27560 [wandb_init.py:init():546] calling init triggers
2023-03-17 23:31:12,211 INFO    Thread-85 :27560 [wandb_init.py:init():552] wandb.init called with sweep_config: {'act_func': 'identity', 'batch_size': 64, 'l2_coeff': 0.0005, 'loss_func': 'mse', 'lr': 0.0001, 'n_epochs': 10, 'n_hidden': 5, 'n_hidden_units': 64, 'optim_algo': 'adam', 'relu_param': 0.1, 'weights_init': 'xavier_uniform'}
config: {'n_epochs': 10, 'n_hidden': 3, 'n_hidden_units': 10, 'l2_coeff': 0, 'lr': 0.001, 'optim_algo': 'sgd', 'batch_size': 16, 'weights_init': 'random', 'act_func': 'relu', 'loss_func': 'cross_ent', 'relu_param': 0}
2023-03-17 23:31:12,211 INFO    Thread-85 :27560 [wandb_init.py:init():602] starting backend
2023-03-17 23:31:12,211 INFO    Thread-85 :27560 [wandb_init.py:init():606] setting up manager
2023-03-17 23:31:12,227 INFO    Thread-85 :27560 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-17 23:31:12,240 INFO    Thread-85 :27560 [wandb_init.py:init():613] backend started and connected
