2023-03-18 01:57:34,511 INFO    Thread-30 :10360 [wandb_setup.py:_flush():76] Configure stats pid to 10360
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_setup.py:_flush():76] Loading settings from C:\Users\HP\.config\wandb\settings
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_setup.py:_flush():76] Loading settings from d:\CS6901\wandb\settings
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'viswa_ee', 'project': 'CS6910', 'root_dir': 'd:\\CS6901', 'run_id': 'l5ijywas', 'sweep_param_path': 'd:\\CS6901\\wandb\\sweep-faldzlw8\\config-l5ijywas.yaml', 'sweep_id': 'faldzlw8'}
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_init.py:_log_setup():506] Logging user logs to d:\CS6901\wandb\run-20230318_015734-l5ijywas\logs\debug.log
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_init.py:_log_setup():507] Logging internal logs to d:\CS6901\wandb\run-20230318_015734-l5ijywas\logs\debug-internal.log
2023-03-18 01:57:34,512 INFO    Thread-30 :10360 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001E001134C70>
2023-03-18 01:57:34,513 INFO    Thread-30 :10360 [wandb_init.py:init():546] calling init triggers
2023-03-18 01:57:34,513 INFO    Thread-30 :10360 [wandb_init.py:init():552] wandb.init called with sweep_config: {'act_func': 'identity', 'optim_algo': 'nag', 'weights_init': 'xavier_uniform'}
config: {'optim_algo': 'adam', 'weights_init': 'xavier_uniform', 'act_fn': 'relu'}
2023-03-18 01:57:34,513 INFO    Thread-30 :10360 [wandb_init.py:init():602] starting backend
2023-03-18 01:57:34,513 INFO    Thread-30 :10360 [wandb_init.py:init():606] setting up manager
2023-03-18 01:57:34,524 INFO    Thread-30 :10360 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-18 01:57:34,530 INFO    Thread-30 :10360 [wandb_init.py:init():613] backend started and connected
2023-03-18 01:57:34,543 INFO    Thread-30 :10360 [wandb_run.py:_config_callback():1251] config_cb None None {'act_func': 'identity', 'optim_algo': 'nag', 'weights_init': 'xavier_uniform'}
2023-03-18 01:57:34,544 INFO    Thread-30 :10360 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-18 01:57:34,545 INFO    Thread-30 :10360 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-18 01:57:34,545 INFO    Thread-30 :10360 [wandb_init.py:init():701] updated telemetry
2023-03-18 01:57:34,598 INFO    Thread-30 :10360 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-18 01:57:35,253 INFO    Thread-30 :10360 [wandb_run.py:_on_init():2133] communicating current version
2023-03-18 01:57:35,324 INFO    Thread-30 :10360 [wandb_run.py:_on_init():2142] got version response 
2023-03-18 01:57:35,324 INFO    Thread-30 :10360 [wandb_init.py:init():789] starting run threads in backend
2023-03-18 01:57:35,732 INFO    Thread-30 :10360 [wandb_run.py:_console_start():2114] atexit reg
2023-03-18 01:57:35,732 INFO    Thread-30 :10360 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-18 01:57:35,732 INFO    Thread-30 :10360 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-18 01:57:35,733 INFO    Thread-30 :10360 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-18 01:57:35,733 INFO    Thread-30 :10360 [wandb_init.py:init():831] run started, returning control to user process
2023-03-18 01:59:35,457 INFO    Thread-30 :10360 [wandb_run.py:_finish():1854] finishing run viswa_ee/CS6910/l5ijywas
2023-03-18 01:59:35,458 INFO    Thread-30 :10360 [jupyter.py:save_history():445] not saving jupyter history
2023-03-18 01:59:35,458 INFO    Thread-30 :10360 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-18 01:59:35,458 INFO    Thread-30 :10360 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-18 01:59:35,458 INFO    Thread-30 :10360 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-18 01:59:35,458 INFO    Thread-30 :10360 [wandb_run.py:_restore():2066] restore
2023-03-18 01:59:35,459 INFO    Thread-30 :10360 [wandb_run.py:_restore():2072] restore done
2023-03-18 01:59:41,099 INFO    Thread-30 :10360 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-18 01:59:41,099 INFO    Thread-30 :10360 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-18 01:59:41,107 INFO    Thread-30 :10360 [wandb_run.py:_footer_sync_info():3380] logging synced files
